-- cid, salutation, first_name, last_name, credit_card_num, credit_card_expire, street, city, state, phone, email --
'Mr', 'Richard', 'Lloyd', '7836483301113682', to_date('09/23', 'MM/YY'), '315 Friendship Lane', 'Boston', 'MA', '0181388379', '400@pitt.edu', 
'Mr', 'Charles', 'Wright', '9131874844655326', to_date('06/25', 'MM/YY'), '947 McKee Street', 'Billings', 'MT', '2034338796', '728@pitt.edu', 
'Ms', 'Selina', 'Lloyd', '6879695702819979', to_date('09/19', 'MM/YY'), '783 Friendship Lane', 'Albany', 'NY', '6410272998', '729@pitt.edu', 
'Mrs', 'Beth', 'Wright', '8368029502292357', to_date('06/20', 'MM/YY'), '340 McKee Street', 'Indianapolis', 'IA', '5773529747', '730@pitt.edu', 
'Ms', 'Anna', 'Brand', '5572426227692547', to_date('08/24', 'MM/YY'), '606 West Avenue', 'Boston', 'MA', '1362567770', '731@pitt.edu', 
'Mrs', 'Cassie', 'Misuraca', '3033459439372032', to_date('05/25', 'MM/YY'), '764 Yuletide Road', 'Honolulu', 'HI', '4771739352', '732@pitt.edu', 
'Mrs', 'Cindy', 'Dent', '4745307250634054', to_date('08/23', 'MM/YY'), '578 Farm Lane', 'Houston', 'TX', '7086257433', '733@pitt.edu', 
'Mr', 'Will', 'Brown', '0710309698216097', to_date('04/19', 'MM/YY'), '495 Oakland Avenue', 'Harrisburg', 'PA', '4498992401', '734@pitt.edu', 
'Mr', 'Wyatt', 'Brand', '0933381147376633', to_date('08/23', 'MM/YY'), '159 West Avenue', 'Atlanta', 'GA', '9520485058', '735@pitt.edu', 
'Mr', 'Wyatt', 'Wright', '8121727323829327', to_date('06/25', 'MM/YY'), '507 McKee Street', 'Atlanta', 'GA', '1764787164', '736@pitt.edu', 
'Mr', 'Victor', 'Wayne', '0931786892808340', to_date('01/18', 'MM/YY'), '657 Main Street', 'Albany', 'NY', '2288561398', '737@pitt.edu', 
'Mrs', 'Breanna', 'Cannon', '5363519489059961', to_date('04/18', 'MM/YY'), '322 Kenyon Trail', 'Anchorage', 'AK', '9351806582', '738@pitt.edu', 
'Mr', 'Michael', 'Thompson', '9262920856612721', to_date('03/17', 'MM/YY'), '226 Coltart Ave', 'Providence', 'RI', '4131247763', '739@pitt.edu', 
'Ms', 'Susan', 'Allen', '5881972745698763', to_date('01/23', 'MM/YY'), '412 New School Lane', 'Harrisburg', 'PA', '9788222054', '740@pitt.edu', 
'Mr', 'Patrick', 'Roosevelt', '4997354215022895', to_date('07/21', 'MM/YY'), '878 Cathedral Road', 'Los Angeles', 'CA', '9922623297', '741@pitt.edu', 
'Ms', 'Anna', 'Dent', '0491377606551224', to_date('08/17', 'MM/YY'), '903 Farm Lane', 'Boston', 'MA', '8105054461', '742@pitt.edu', 
'Mr', 'Jared', 'Tuft', '6158600020270685', to_date('06/25', 'MM/YY'), '968 Swanson Street', 'Tallahassee', 'FL', '2840572812', '743@pitt.edu', 
'Mr', 'Peter', 'Lloyd', '9495612649926497', to_date('09/24', 'MM/YY'), '252 Friendship Lane', 'Honolulu', 'HI', '5808920395', '744@pitt.edu', 
'Ms', 'Kathy', 'Wayne', '8384366553618575', to_date('01/22', 'MM/YY'), '082 Main Street', 'York', 'PA', '8639254134', '745@pitt.edu', 
'Mr', 'Charles', 'Mann', '7006362825995647', to_date('05/16', 'MM/YY'), '611 Orchard Circle', 'Billings', 'MT', '8325841189', '746@pitt.edu', 
'Mrs', 'Jessica', 'Allen', '9048234086236146', to_date('01/18', 'MM/YY'), '598 New School Lane', 'Atlanta', 'GA', '7161373277', '747@pitt.edu', 
'Ms', 'Penelope', 'Kent', '0268858862448684', to_date('03/18', 'MM/YY'), '967 Memory Lane', 'Billings', 'MT', '4816409895', '748@pitt.edu', 
'Mrs', 'Lynn', 'Wayne', '5143814237280522', to_date('01/19', 'MM/YY'), '734 Main Street', 'New Orleans', 'LA', '9135744425', '749@pitt.edu', 
'Mr', 'Patrick', 'Stevens', '7648983333669834', to_date('10/18', 'MM/YY'), '592 Forbes Avenue', 'Los Angeles', 'CA', '9658414374', '750@pitt.edu', 
'Mr', 'Clark', 'Wagner', '0911487916660754', to_date('02/21', 'MM/YY'), '343 Craig Street', 'Anchorage', 'AK', '6638839687', '751@pitt.edu', 
'Mr', 'Bruce', 'Kent', '8670910920840897', to_date('03/21', 'MM/YY'), '003 Memory Lane', 'Pittsburgh', 'PA', '2942479969', '752@pitt.edu', 
'Mr', 'Scott', 'Stevens', '3382375271431226', to_date('10/20', 'MM/YY'), '833 Forbes Avenue', 'Indianapolis', 'IA', '3556351975', '753@pitt.edu', 
'Mr', 'Patrick', 'Wright', '7707962630482313', to_date('06/24', 'MM/YY'), '943 McKee Street', 'Los Angeles', 'CA', '9081436289', '754@pitt.edu', 
'Mr', 'Tom', 'Wayne', '4937738437068361', to_date('01/23', 'MM/YY'), '527 Main Street', 'Hershey', 'PA', '7875801606', '755@pitt.edu', 
'Mr', 'Tom', 'Cannon', '9643877685433251', to_date('04/23', 'MM/YY'), '877 Kenyon Trail', 'Hershey', 'PA', '2932743610', '756@pitt.edu', 
'Mr', 'Will', 'Wayne', '4175314613593064', to_date('01/24', 'MM/YY'), '831 Main Street', 'Harrisburg', 'PA', '1059822283', '757@pitt.edu', 
'Ms', 'Selena', 'Cannon', '6637498257298696', to_date('04/21', 'MM/YY'), '632 Kenyon Trail', 'Pittsburgh', 'PA', '5115566975', '758@pitt.edu', 
'Mr', 'Jared', 'Cannon', '4968384444089552', to_date('04/18', 'MM/YY'), '715 Kenyon Trail', 'Tallahassee', 'FL', '2114781669', '759@pitt.edu', 
'Ms', 'Courtney', 'Kent', '9560283485080788', to_date('03/17', 'MM/YY'), '014 Memory Lane', 'Hershey', 'PA', '9031067339', '760@pitt.edu', 
'Ms', 'Selena', 'Dent', '3617016230397653', to_date('08/17', 'MM/YY'), '708 Farm Lane', 'Pittsburgh', 'PA', '7499779344', '761@pitt.edu', 
'Mr', 'Kent', 'Roosevelt', '1450184663482955', to_date('07/19', 'MM/YY'), '550 Cathedral Road', 'Houston', 'TX', '8960600042', '762@pitt.edu', 
'Mr', 'Charles', 'Reilly', '9510658787543082', to_date('11/22', 'MM/YY'), '086 Fifth Avenue', 'Billings', 'MT', '3422089711', '763@pitt.edu', 
'Mr', 'Charles', 'Brand', '4324943507750989', to_date('08/18', 'MM/YY'), '774 West Avenue', 'Billings', 'MT', '6140309332', '764@pitt.edu', 
'Mr', 'Matt', 'Tuft', '8519104024044032', to_date('06/21', 'MM/YY'), '953 Swanson Street', 'Des Moines', 'IA', '2844017650', '765@pitt.edu', 
'Mr', 'Grant', 'Kent', '3546188929780194', to_date('03/16', 'MM/YY'), '659 Memory Lane', 'Chicago', 'IL', '0251146494', '766@pitt.edu', 
'Mrs', 'Anna', 'Brand', '2940459625178991', to_date('08/18', 'MM/YY'), '486 West Avenue', 'Boston', 'MA', '1724446809', '767@pitt.edu', 
'Mr', 'Will', 'Stevens', '5962669080155476', to_date('10/23', 'MM/YY'), '536 Forbes Avenue', 'Harrisburg', 'PA', '0304311729', '768@pitt.edu', 
'Ms', 'Martha', 'Roosevelt', '3038447760941451', to_date('07/16', 'MM/YY'), '445 Cathedral Road', 'Columbus', 'OH', '0429042973', '769@pitt.edu', 
'Mr', 'Bruce', 'Kent', '9487786619715368', to_date('03/18', 'MM/YY'), '828 Memory Lane', 'Pittsburgh', 'PA', '4149913366', '770@pitt.edu', 
'Mr', 'Jesse', 'Jones', '2666707780101339', to_date('12/24', 'MM/YY'), '333 Cherry Street', 'New Orleans', 'LA', '7358194395', '771@pitt.edu', 
'Mrs', 'Breanna', 'Lloyd', '8587996560040141', to_date('09/19', 'MM/YY'), '640 Friendship Lane', 'Anchorage', 'AK', '3955984353', '772@pitt.edu', 
'Mr', 'Charles', 'Jones', '5652181723656951', to_date('12/20', 'MM/YY'), '792 Cherry Street', 'Billings', 'MT', '5218464584', '773@pitt.edu', 
'Mr', 'Bruce', 'Brand', '1578278921771518', to_date('08/21', 'MM/YY'), '826 West Avenue', 'Pittsburgh', 'PA', '6866620444', '774@pitt.edu', 
'Mrs', 'Jan', 'Mann', '1545042822529335', to_date('05/21', 'MM/YY'), '878 Orchard Circle', 'Philadelphia', 'PA', '8671090972', '775@pitt.edu', 
'Mr', 'Larry', 'Mann', '3943101475013455', to_date('05/20', 'MM/YY'), '983 Orchard Circle', 'York', 'PA', '1997616615', '776@pitt.edu', 
'Ms', 'Martha', 'Freeman', '4868508073260858', to_date('07/16', 'MM/YY'), '727 Pine Road', 'Columbus', 'OH', '2542486613', '777@pitt.edu', 
'Mr', 'Jared', 'Wright', '8306568322631513', to_date('06/17', 'MM/YY'), '824 McKee Street', 'Tallahassee', 'FL', '4676600970', '778@pitt.edu', 
'Mrs', 'Martha', 'Brown', '4548525603381663', to_date('04/19', 'MM/YY'), '055 Oakland Avenue', 'Columbus', 'OH', '1636244505', '779@pitt.edu', 
'Mrs', 'Cassie', 'Lloyd', '5936496082362035', to_date('09/20', 'MM/YY'), '777 Friendship Lane', 'Honolulu', 'HI', '4108116539', '780@pitt.edu', 
'Ms', 'Kathy', 'Mann', '8532422739182238', to_date('05/17', 'MM/YY'), '114 Orchard Circle', 'York', 'PA', '4992679810', '781@pitt.edu', 
'Ms', 'Martha', 'Jordan', '2979343069644537', to_date('02/17', 'MM/YY'), '618 Walnut Street', 'Columbus', 'OH', '6426002548', '782@pitt.edu', 
'Mr', 'Adam', 'Jones', '8044605484508368', to_date('12/21', 'MM/YY'), '604 Cherry Street', 'Columbus', 'OH', '6005808337', '783@pitt.edu', 
'Mr', 'Adam', 'Mann', '3366365689371621', to_date('05/23', 'MM/YY'), '417 Orchard Circle', 'Columbus', 'OH', '5532347170', '784@pitt.edu', 
'Ms', 'Jan', 'Mann', '5418326284996136', to_date('05/25', 'MM/YY'), '374 Orchard Circle', 'Philadelphia', 'PA', '2439580606', '785@pitt.edu', 
'Mr', 'Patrick', 'Misuraca', '2489335817095123', to_date('05/24', 'MM/YY'), '590 Yuletide Road', 'Los Angeles', 'CA', '5784349936', '786@pitt.edu', 
'Mr', 'Peter', 'Mann', '3982955803765061', to_date('05/23', 'MM/YY'), '050 Orchard Circle', 'Honolulu', 'HI', '0291299093', '787@pitt.edu', 
'Ms', 'Courtney', 'Stevens', '0847799912242552', to_date('10/16', 'MM/YY'), '405 Forbes Avenue', 'Hershey', 'PA', '9207166150', '788@pitt.edu', 
'Mr', 'Matt', 'Wayne', '5712315251821473', to_date('01/18', 'MM/YY'), '866 Main Street', 'Des Moines', 'IA', '4606754903', '789@pitt.edu', 
'Mrs', 'Jan', 'Mann', '2670099441350667', to_date('05/24', 'MM/YY'), '527 Orchard Circle', 'Philadelphia', 'PA', '1621885000', '790@pitt.edu', 
'Mrs', 'Martha', 'Roosevelt', '0214141529104557', to_date('07/20', 'MM/YY'), '974 Cathedral Road', 'Columbus', 'OH', '9132503338', '791@pitt.edu', 
'Mrs', 'Emma', 'Allen', '5457415483126483', to_date('01/24', 'MM/YY'), '724 New School Lane', 'Des Moines', 'IA', '5910751505', '792@pitt.edu', 
'Ms', 'Beth', 'Lloyd', '9791544912775727', to_date('09/18', 'MM/YY'), '557 Friendship Lane', 'Indianapolis', 'IA', '9793620316', '793@pitt.edu', 
'Mrs', 'Cassie', 'Reilly', '7856660943678153', to_date('11/16', 'MM/YY'), '617 Fifth Avenue', 'Honolulu', 'HI', '0603437239', '794@pitt.edu', 
'Ms', 'Susan', 'Wagner', '4325268776049127', to_date('02/20', 'MM/YY'), '977 Craig Street', 'Harrisburg', 'PA', '4314278299', '795@pitt.edu', 
'Mrs', 'Jan', 'Jones', '5492431130568333', to_date('12/17', 'MM/YY'), '063 Cherry Street', 'Philadelphia', 'PA', '0733797397', '796@pitt.edu', 
'Mr', 'Michael', 'Brand', '8944207467023317', to_date('08/17', 'MM/YY'), '788 West Avenue', 'Providence', 'RI', '9400349386', '797@pitt.edu', 
'Mr', 'Clark', 'Brand', '7963352976839218', to_date('08/21', 'MM/YY'), '487 West Avenue', 'Anchorage', 'AK', '5873279280', '798@pitt.edu', 
'Mrs', 'Cindy', 'Roosevelt', '3933375163269806', to_date('07/18', 'MM/YY'), '589 Cathedral Road', 'Houston', 'TX', '1496471299', '799@pitt.edu', 
